Number of Students,Non Concurrent, Serial Stream, Parallel Stream, Multithreaded
100,403129,74307138,9556846,2659633,
1000,808923,515179,693065,770916,
10000,16321684,2682843,1725883,21398155,
100000,1263351651,4668738,4765712,761007923,
100,37034,40014,194401,297394,
1000,124292,43390,196939,317395,
10000,8225636,533340,550521,8472860,
100000,851687150,1876521,1796756,752155495,
100,37085,53892,265389,831856,
1000,202014,77377,263805,934397,
10000,12127881,330328,372100,16779110,
100000,888139286,2335847,1662731,856865516,
100,6981,96906,210252,985427,
1000,103646,44788,303226,1300178,
10000,7685147,240073,279846,8538359,
100000,860147009,2419472,1605841,943548639,
100,5263,45008,183501,634343,
1000,98759,44400,224279,800271,
10000,7782435,253439,305027,8049391,
100000,880103765,2325060,1724647,919510155,
100,21644,90663,435308,594098,
1000,357363,231515,382918,658406,
10000,11109222,341452,278102,11692999,
100000,865212023,2351419,1611336,874223140,
100,6014,97023,137908,1274738,
1000,108707,73097,308831,515667,
10000,7653898,226460,304413,8851600,
100000,924782862,1983514,1369925,882981284,
100,9503,45121,185847,1057329,
1000,167419,56862,199906,351421,
10000,10012411,274608,247309,9245789,
100000,961938602,2419063,2070768,977114812,
100,5905,31760,132444,339292,
1000,121038,47599,169275,396259,
10000,7881760,329352,265394,7762729,
100000,961431726,2335805,1533375,728349238,
100,6129,33039,80317,350604,
1000,93553,41172,164303,422873,
10000,7751541,244274,250730,7595972,
100000,866639018,2321731,1444119,805836526,
